19:43:27 device=cuda  model=google/bert_uncased_L-2_H-128_A-2
19:43:31 pools: base=12000 S=1500 [binEH] T=1500 [binU, U=509] shared=0 eval=1000  mode=disjoint slider=strength
19:43:31 training base
19:43:32       step 25 loss 1.1495
19:43:33       step 50 loss 1.1701
19:43:33       step 75 loss 1.0799
19:43:33       step 100 loss 1.1074
19:43:34       step 125 loss 1.1229
19:43:34       step 150 loss 1.0856
19:43:35       step 175 loss 1.1996
19:43:35       step 200 loss 1.1940
19:43:35       step 225 loss 1.0865
19:43:36       step 250 loss 1.1017
19:43:36       step 275 loss 1.1186
19:43:37       step 300 loss 1.0906
19:43:37       step 325 loss 1.2253
19:43:38       step 350 loss 1.1442
19:43:38       step 375 loss 1.1808
19:43:38       step 400 loss 1.0729
19:43:39       step 425 loss 0.9666
19:43:39       step 450 loss 1.1412
19:43:40       step 475 loss 1.0742
19:43:40       step 500 loss 1.1349
19:43:41       step 525 loss 1.0234
19:43:41       step 550 loss 0.9849
19:43:42       step 575 loss 1.1324
19:43:42       step 600 loss 1.0753
19:43:42       step 625 loss 1.0262
19:43:43       step 650 loss 1.1342
19:43:43       step 675 loss 1.1075
19:43:44       step 700 loss 1.0403
19:43:44       step 725 loss 1.0444
19:43:44       step 750 loss 0.9973
19:43:45 base acc 0.504  C=[0.365 0.331 0.304]
19:43:45 == α=0.1 seed=0  mode=disjoint lr_S=1e-05 lr_T=1e-06 shared=0
19:43:45     pass S [binEH, n=1500]
19:43:45       step 25 loss 0.6477
19:43:46     pass T [binU, n=1500]
19:43:47       step 25 loss 0.6797
19:43:48     SEALED prediction 9ed0a736c16c714a…  Γ(alr)=[0. 0. 0.] Γ(overlap)=[ 0.001  0.    -0.001] pred-dis alr=0.000 overlap=0.001 | flipS=0.19 flipT=0.01 overlap-ratio=0.43 | ‖[Φ]‖=0.012 ‖[A]‖=0.0001
19:43:48     pass S→T [binU, n=1500]
19:43:48       step 25 loss 0.5198
19:43:49     pass T→S [binEH, n=1500]
19:43:50       step 25 loss 0.6191
19:43:51     pass S→T rep1 [binU, n=1500]
19:43:51       step 25 loss 0.6708
19:43:52     pass T→S rep1 [binEH, n=1500]
19:43:53       step 25 loss 0.6312
19:43:54     OBSERVED Γ=[-0.004  0.023 -0.019] disagreement=0.036 SM p=2.51e-05 | overlap err 0.015/0.008 agree 0.97/0.96 Γ-sign 0.33 in/out 0.000/0.036 | alr err 0.011/0.012 | markov err 0.015/0.009
19:43:54     FLOOR replicates: pair-dis ST=0.013 TS=0.206 σ_eff=0.007/0.120 | order-dis 0.036 = 0.3× floor | loss-sd [0.048 0.079 0.038 0.036]
19:43:54 == α=0.1 seed=1  mode=disjoint lr_S=1e-05 lr_T=1e-06 shared=0
19:43:54     pass S [binEH, n=1500]
19:43:55       step 25 loss 0.6944
19:43:56     pass T [binU, n=1500]
19:43:56       step 25 loss 0.5357
19:43:57     SEALED prediction ce7fcaa1b0097212…  Γ(alr)=[-0.001  0.     0.001] Γ(overlap)=[0. 0. 0.] pred-dis alr=0.002 overlap=0.000 | flipS=0.06 flipT=0.01 overlap-ratio=7.27 | ‖[Φ]‖=0.002 ‖[A]‖=0.0002
19:43:58     pass S→T [binU, n=1500]
19:43:58       step 25 loss 0.5498
19:43:59     pass T→S [binEH, n=1500]
19:43:59       step 25 loss 0.6644
19:44:00     pass S→T rep1 [binU, n=1500]
19:44:01       step 25 loss 0.4946
19:44:02     pass T→S rep1 [binEH, n=1500]
19:44:03       step 25 loss 0.6677
19:44:04     OBSERVED Γ=[ 0.036 -0.033 -0.003] disagreement=0.049 SM p=7.22e-09 | overlap err 0.023/0.013 agree 0.97/0.96 Γ-sign 0.00 in/out 0.000/0.049 | alr err 0.030/0.008 | markov err 0.024/0.013
19:44:04     FLOOR replicates: pair-dis ST=0.020 TS=0.101 σ_eff=0.010/0.054 | order-dis 0.049 = 0.8× floor | loss-sd [0.042 0.053 0.048 0.048]
19:44:04 == α=0.1 seed=2  mode=disjoint lr_S=1e-05 lr_T=1e-06 shared=0
19:44:04     pass S [binEH, n=1500]
19:44:05       step 25 loss 0.6534
19:44:06     pass T [binU, n=1500]
19:44:06       step 25 loss 0.6440
19:44:07     SEALED prediction 261085010ae0fabb…  Γ(alr)=[0. 0. 0.] Γ(overlap)=[ 0.     0.001 -0.001] pred-dis alr=0.000 overlap=0.001 | flipS=0.06 flipT=0.00 overlap-ratio=8.62 | ‖[Φ]‖=0.001 ‖[A]‖=0.0002
19:44:07     pass S→T [binU, n=1500]
19:44:08       step 25 loss 0.5598
19:44:09     pass T→S [binEH, n=1500]
19:44:09       step 25 loss 0.5717
19:44:10     pass S→T rep1 [binU, n=1500]
19:44:11       step 25 loss 0.6619
19:44:12     pass T→S rep1 [binEH, n=1500]
19:44:12       step 25 loss 0.6573
