19:01:07 device=cuda  model=bert-base-uncased
19:01:17 pools: base=60000 S=6000 [binEH] T=6000 [binU, U=2027] shared=0 eval=4000  mode=disjoint slider=shared
19:01:18 training base
19:01:21       step 25 loss 1.0989
19:01:23       step 50 loss 0.7249
19:01:25       step 75 loss 0.7344
19:01:27       step 100 loss 0.6744
19:01:29       step 125 loss 0.6546
19:01:32       step 150 loss 0.7228
19:01:34       step 175 loss 0.4040
19:01:36       step 200 loss 0.5429
19:01:39       step 225 loss 0.7389
19:01:41       step 250 loss 0.7107
19:01:43       step 275 loss 0.5866
19:01:45       step 300 loss 0.6695
19:01:47       step 325 loss 0.5701
19:01:50       step 350 loss 0.4665
19:01:52       step 375 loss 0.5589
19:01:54       step 400 loss 0.6211
19:01:57       step 425 loss 0.5874
19:01:59       step 450 loss 0.7550
19:02:02       step 475 loss 0.2645
19:02:04       step 500 loss 0.6396
19:02:07       step 525 loss 0.3931
19:02:09       step 550 loss 0.4691
19:02:12       step 575 loss 0.6112
19:02:14       step 600 loss 0.2465
19:02:16       step 625 loss 0.7023
19:02:19       step 650 loss 0.6212
19:02:21       step 675 loss 0.5894
19:02:23       step 700 loss 0.5936
19:02:25       step 725 loss 0.2708
19:02:28       step 750 loss 0.6074
19:02:30       step 775 loss 0.4650
19:02:32       step 800 loss 0.3584
19:02:35       step 825 loss 0.5758
19:02:37       step 850 loss 0.5830
19:02:39       step 875 loss 0.6624
19:02:41       step 900 loss 0.5572
19:02:43       step 925 loss 0.6580
19:02:46       step 950 loss 0.2576
19:02:48       step 975 loss 0.5343
19:02:50       step 1000 loss 0.2741
19:02:52       step 1025 loss 0.5236
19:02:55       step 1050 loss 0.5138
19:02:57       step 1075 loss 0.2917
19:02:59       step 1100 loss 0.4358
19:03:02       step 1125 loss 0.6982
19:03:04       step 1150 loss 0.5231
19:03:06       step 1175 loss 0.3495
19:03:09       step 1200 loss 0.5554
19:03:11       step 1225 loss 0.4547
19:03:14       step 1250 loss 0.3670
19:03:16       step 1275 loss 0.4505
19:03:19       step 1300 loss 0.4779
19:03:21       step 1325 loss 0.5978
19:03:24       step 1350 loss 0.2145
19:03:26       step 1375 loss 0.2024
19:03:28       step 1400 loss 0.4430
19:03:30       step 1425 loss 0.4855
19:03:33       step 1450 loss 0.4330
19:03:35       step 1475 loss 0.2972
